类型,根函数名,函数名,非独占样本,独占样本,非独占样本 %,独占样本 %,
"Callee","[combase.dll]","[clr.dll]",46,0,2.72,0.00,
"Callee","[combase.dll]","[combase.dll]",52,2,3.08,0.12,
"Callee","[combase.dll]","[KernelBase.dll]",1,0,0.06,0.00,
"Callee","[combase.dll]","[ntdll.dll]",2,2,0.12,0.12,
"Callee","[combase.dll]","[rpcrt4.dll]",46,0,2.72,0.00,
"Callee","[combase.dll]","[ucrtbase.dll]",1,1,0.06,0.06,
"Callee","[combase.dll]","[user32.dll]",47,0,2.78,0.00,
"Callee","[combase.dll]","[win32u.dll]",1,0,0.06,0.00,
"Root","[comctl32.dll]","[comctl32.dll]",1,1,0.06,0.06,
"Caller","[comctl32.dll]","[user32.dll]",1,1,0.06,0.06,
"Root","[CoreMessaging.dll]","[CoreMessaging.dll]",10,2,0.59,0.12,
"Caller","[CoreMessaging.dll]","[CoreMessaging.dll]",10,2,0.59,0.12,
"Caller","[CoreMessaging.dll]","[InputHost.dll]",1,0,0.06,0.00,
"Caller","[CoreMessaging.dll]","[user32.dll]",9,0,0.53,0.00,
"Callee","[CoreMessaging.dll]","[CoreMessaging.dll]",10,2,0.59,0.12,
"Callee","[CoreMessaging.dll]","[CoreUIComponents.dll]",6,1,0.35,0.06,
"Callee","[CoreMessaging.dll]","[user32.dll]",1,0,0.06,0.00,
"Callee","[CoreMessaging.dll]","[win32u.dll]",1,0,0.06,0.00,
"Root","[CoreUIComponents.dll]","[CoreUIComponents.dll]",6,1,0.35,0.06,
"Caller","[CoreUIComponents.dll]","[CoreMessaging.dll]",6,1,0.35,0.06,
"Caller","[CoreUIComponents.dll]","[CoreUIComponents.dll]",5,0,0.30,0.00,
"Callee","[CoreUIComponents.dll]","[CoreUIComponents.dll]",5,0,0.30,0.00,
"Callee","[CoreUIComponents.dll]","[TextInputFramework.dll]",5,0,0.30,0.00,
"Root","[d2d1.dll]","[d2d1.dll]",112,28,6.62,1.66,
"Caller","[d2d1.dll]","[d2d1.dll]",107,24,6.33,1.42,
"Caller","[d2d1.dll]","[mshtml.dll]",111,3,6.56,0.18,
"Caller","[d2d1.dll]","[ntdll.dll]",1,1,0.06,0.06,
"Callee","[d2d1.dll]","[d2d1.dll]",107,24,6.33,1.42,
"Callee","[d2d1.dll]","[d3d11.dll]",68,8,4.02,0.47,
"Callee","[d2d1.dll]","[DWrite.dll]",1,1,0.06,0.06,
"Callee","[d2d1.dll]","[gdi32.dll]",11,0,0.65,0.00,
"Callee","[d2d1.dll]","[KernelBase.dll]",1,0,0.06,0.00,
"Callee","[d2d1.dll]","[msvcrt.dll]",3,1,0.18,0.06,
"Root","[d3d10warp.dll]","[d3d10warp.dll]",207,176,12.24,10.41,
"Caller","[d3d10warp.dll]","[d3d10warp.dll]",200,172,11.83,10.17,
"Caller","[d3d10warp.dll]","[d3d11.dll]",37,4,2.19,0.24,
"Caller","[d3d10warp.dll]","[ntdll.dll]",170,0,10.05,0.00,
"Callee","[d3d10warp.dll]","[d3d10warp.dll]",200,172,11.83,10.17,
"Callee","[d3d10warp.dll]","[d3d11.dll]",12,0,0.71,0.00,
"Callee","[d3d10warp.dll]","[gdi32full.dll]",2,0,0.12,0.00,
"Callee","[d3d10warp.dll]","[KernelBase.dll]",4,1,0.24,0.06,
"Callee","[d3d10warp.dll]","[ntdll.dll]",10,5,0.59,0.30,
"Callee","[d3d10warp.dll]","[ucrtbase.dll]",2,2,0.12,0.12,
"Callee","[d3d10warp.dll]","[未知]",1,1,0.06,0.06,
"Root","[d3d11.dll]","[d3d11.dll]",75,25,4.44,1.48,
"Caller","[d3d11.dll]","[d2d1.dll]",68,8,4.02,0.47,
"Caller","[d3d11.dll]","[d3d10warp.dll]",12,0,0.71,0.00,
"Caller","[d3d11.dll]","[d3d11.dll]",48,17,2.84,1.01,
"Caller","[d3d11.dll]","[mshtml.dll]",7,0,0.41,0.00,
"Callee","[d3d11.dll]","[d3d10warp.dll]",37,4,2.19,0.24,
"Callee","[d3d11.dll]","[d3d11.dll]",48,17,2.84,1.01,
"Callee","[d3d11.dll]","[gdi32full.dll]",2,2,0.12,0.12,
"Callee","[d3d11.dll]","[KernelBase.dll]",2,0,0.12,0.00,
"Callee","[d3d11.dll]","[ntdll.dll]",1,1,0.06,0.06,
"Callee","[d3d11.dll]","[win32u.dll]",20,0,1.18,0.00,
"Root","[d3d9.dll]","[d3d9.dll]",11,0,0.65,0.00,
"Caller","[d3d9.dll]","[atiu9pag.dll]",3,0,0.18,0.00,
"Caller","[d3d9.dll]","[d3d9.dll]",11,0,0.65,0.00,
"Caller","[d3d9.dll]","[wpfgfx_v0400.dll]",11,0,0.65,0.00,
"Callee","[d3d9.dll]","[atiu9pag.dll]",10,0,0.59,0.00,
"Callee","[d3d9.dll]","[d3d9.dll]",11,0,0.65,0.00,
"Callee","[d3d9.dll]","[KernelBase.dll]",1,0,0.06,0.00,
"Callee","[d3d9.dll]","[win32u.dll]",3,0,0.18,0.00,
"Root","[DataExchange.dll]","[DataExchange.dll]",1,0,0.06,0.00,
"Caller","[DataExchange.dll]","[ole32.dll]",1,0,0.06,0.00,
"Callee","[DataExchange.dll]","[twinapi.appcore.dll]",1,0,0.06,0.00,
"Root","[DWrite.dll]","[DWrite.dll]",1,1,0.06,0.06,
"Caller","[DWrite.dll]","[d2d1.dll]",1,1,0.06,0.06,
"Root","[ExplorerFrame.dll]","[ExplorerFrame.dll]",1,0,0.06,0.00,
"Caller","[ExplorerFrame.dll]","[ExplorerFrame.dll]",1,0,0.06,0.00,
"Caller","[ExplorerFrame.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Callee","[ExplorerFrame.dll]","[ExplorerFrame.dll]",1,0,0.06,0.00,
"Callee","[ExplorerFrame.dll]","[shlwapi.dll]",1,0,0.06,0.00,
"Root","[Flash.ocx]","[Flash.ocx]",2,0,0.12,0.00,
"Caller","[Flash.ocx]","[Flash.ocx]",2,0,0.12,0.00,
"Caller","[Flash.ocx]","[ntdll.dll]",2,0,0.12,0.00,
"Callee","[Flash.ocx]","[Flash.ocx]",2,0,0.12,0.00,
"Callee","[Flash.ocx]","[KernelBase.dll]",1,0,0.06,0.00,
"Callee","[Flash.ocx]","[ntdll.dll]",1,0,0.06,0.00,
"Root","[gdi32.dll]","[gdi32.dll]",34,2,2.01,0.12,
"Caller","[gdi32.dll]","[d2d1.dll]",11,0,0.65,0.00,
"Caller","[gdi32.dll]","[gdi32.dll]",1,1,0.06,0.06,
"Caller","[gdi32.dll]","[mshtml.dll]",20,0,1.18,0.00,
"Caller","[gdi32.dll]","[SogouPY.ime]",2,0,0.12,0.00,
"Caller","[gdi32.dll]","[user32.dll]",1,1,0.06,0.06,
