类型,根函数名,函数名,非独占样本,独占样本,非独占样本 %,独占样本 %,
"Caller","[ntdll.dll]","[wow64win.dll]",4,0,0.24,0.00,
"Caller","[ntdll.dll]","[未知]",228,4,13.48,0.24,
"Callee","[ntdll.dll]","[ntdll.dll]",743,2,43.94,0.12,
"Callee","[ntdll.dll]","[wow64.dll]",743,0,43.94,0.00,
"Callee","[ntdll.dll]","[wow64win.dll]",212,0,12.54,0.00,
"Root","[ntdll.dll]","[ntdll.dll]","1,511",81,89.36,4.79,
"Caller","[ntdll.dll]","[atiumdag.dll]",2,0,0.12,0.00,
"Caller","[ntdll.dll]","[bcryptprimitives.dll]",1,1,0.06,0.06,
"Caller","[ntdll.dll]","[cfgmgr32.dll]",1,1,0.06,0.06,
"Caller","[ntdll.dll]","[clr.dll]",3,2,0.18,0.12,
"Caller","[ntdll.dll]","[combase.dll]",2,2,0.12,0.12,
"Caller","[ntdll.dll]","[d3d10warp.dll]",10,5,0.59,0.30,
"Caller","[ntdll.dll]","[d3d11.dll]",1,1,0.06,0.06,
"Caller","[ntdll.dll]","[Flash.ocx]",1,0,0.06,0.00,
"Caller","[ntdll.dll]","[ieframe.dll]",19,0,1.12,0.00,
"Caller","[ntdll.dll]","[jscript9.dll]",1,0,0.06,0.00,
"Caller","[ntdll.dll]","[kernel32.dll]",243,0,14.37,0.00,
"Caller","[ntdll.dll]","[KernelBase.dll]",184,6,10.88,0.35,
"Caller","[ntdll.dll]","[mscoreei.dll]",1,1,0.06,0.06,
"Caller","[ntdll.dll]","[msctf.dll]",3,0,0.18,0.00,
"Caller","[ntdll.dll]","[mshtml.dll]",16,7,0.95,0.41,
"Caller","[ntdll.dll]","[msvcrt.dll]",5,1,0.30,0.06,
"Caller","[ntdll.dll]","[ntdll.dll]","1,416",37,83.74,2.19,
"Caller","[ntdll.dll]","[ntmarta.dll]",15,0,0.89,0.00,
"Caller","[ntdll.dll]","[PicFace.dll]",7,2,0.41,0.12,
"Caller","[ntdll.dll]","[propsys.dll]",1,0,0.06,0.00,
"Caller","[ntdll.dll]","[SGMouseInput.dll]",1,0,0.06,0.00,
"Caller","[ntdll.dll]","[SogouPY.ime]",3,0,0.18,0.00,
"Caller","[ntdll.dll]","[System.ni.dll]",9,0,0.53,0.00,
"Caller","[ntdll.dll]","[user32.dll]",362,6,21.41,0.35,
"Caller","[ntdll.dll]","[uxtheme.dll]",3,2,0.18,0.12,
"Caller","[ntdll.dll]","[Windows.Media.dll]",1,0,0.06,0.00,
"Caller","[ntdll.dll]","[WindowsBase.ni.dll]",26,1,1.54,0.06,
"Caller","[ntdll.dll]","[wininet.dll]",1,0,0.06,0.00,
"Caller","[ntdll.dll]","[wpfgfx_v0400.dll]",11,6,0.65,0.35,
"Callee","[ntdll.dll]","[atiumdag.dll]",1,1,0.06,0.06,
"Callee","[ntdll.dll]","[cfgmgr32.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[clr.dll]",11,0,0.65,0.00,
"Callee","[ntdll.dll]","[combase.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[d2d1.dll]",1,1,0.06,0.06,
"Callee","[ntdll.dll]","[d3d10warp.dll]",170,0,10.05,0.00,
"Callee","[ntdll.dll]","[ExplorerFrame.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[Flash.ocx]",2,0,0.12,0.00,
"Callee","[ntdll.dll]","[imgutil.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[jscript9.dll]",1,1,0.06,0.06,
"Callee","[ntdll.dll]","[kernel32.dll]",343,0,20.28,0.00,
"Callee","[ntdll.dll]","[MobileInput.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[mscoree.dll]","1,065",0,62.98,0.00,
"Callee","[ntdll.dll]","[mshtml.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[msvcrt.dll]",1,1,0.06,0.06,
"Callee","[ntdll.dll]","[ntdll.dll]",221,0,13.07,0.00,
"Callee","[ntdll.dll]","[ntdll.dll]","1,416",37,83.74,2.19,
"Callee","[ntdll.dll]","[PicFace.dll]",3,0,0.18,0.00,
"Callee","[ntdll.dll]","[propsys.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[SGMouseInput.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[SogouPY.ime]",31,0,1.83,0.00,
"Callee","[ntdll.dll]","[SogouTSF.ime]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[twinapi.appcore.dll]",1,0,0.06,0.00,
"Callee","[ntdll.dll]","[user32.dll]",398,2,23.54,0.12,
"Callee","[ntdll.dll]","[Windows.Media.dll]",1,0,0.06,0.00,
"Root","[ntmarta.dll]","[ntmarta.dll]",23,1,1.36,0.06,
"Caller","[ntmarta.dll]","[KernelBase.dll]",2,0,0.12,0.00,
"Caller","[ntmarta.dll]","[ntmarta.dll]",23,1,1.36,0.06,
"Caller","[ntmarta.dll]","[PicFace.dll]",16,0,0.95,0.00,
"Caller","[ntmarta.dll]","[SogouPY.ime]",5,0,0.30,0.00,
"Callee","[ntmarta.dll]","[KernelBase.dll]",6,0,0.35,0.00,
"Callee","[ntmarta.dll]","[ntdll.dll]",15,0,0.89,0.00,
"Callee","[ntmarta.dll]","[ntmarta.dll]",23,1,1.36,0.06,
"Callee","[ntmarta.dll]","[sechost.dll]",1,0,0.06,0.00,
"Root","[ole32.dll]","[ole32.dll]",2,0,0.12,0.00,
"Caller","[ole32.dll]","[ieframe.dll]",1,0,0.06,0.00,
"Caller","[ole32.dll]","[ole32.dll]",2,0,0.12,0.00,
"Caller","[ole32.dll]","[WindowsBase.ni.dll]",1,0,0.06,0.00,
"Callee","[ole32.dll]","[combase.dll]",1,0,0.06,0.00,
"Callee","[ole32.dll]","[DataExchange.dll]",1,0,0.06,0.00,
"Callee","[ole32.dll]","[ole32.dll]",2,0,0.12,0.00,
"Root","[oleaut32.dll]","[oleaut32.dll]",2,1,0.12,0.06,
"Caller","[oleaut32.dll]","[mshtml.dll]",2,1,0.12,0.06,
"Caller","[oleaut32.dll]","[oleaut32.dll]",1,0,0.06,0.00,
"Callee","[oleaut32.dll]","[kernel32.dll]",1,0,0.06,0.00,
"Callee","[oleaut32.dll]","[oleaut32.dll]",1,0,0.06,0.00,
"Root","[PenIMC2_v0400.dll]","[PenIMC2_v0400.dll]",2,1,0.12,0.06,
"Caller","[PenIMC2_v0400.dll]","[PenIMC2_v0400.dll]",2,1,0.12,0.06,
"Caller","[PenIMC2_v0400.dll]","[PresentationCore.ni.dll]",2,0,0.12,0.00,
"Callee","[PenIMC2_v0400.dll]","[combase.dll]",1,0,0.06,0.00,
"Callee","[PenIMC2_v0400.dll]","[PenIMC2_v0400.dll]",2,1,0.12,0.06,
"Root","[PicFace.dll]","[PicFace.dll]",156,51,9.23,3.02,
"Caller","[PicFace.dll]","[ntdll.dll]",3,0,0.18,0.00,
"Caller","[PicFace.dll]","[PicFace.dll]",66,49,3.90,2.90,
"Caller","[PicFace.dll]","[未知]",7,0,0.41,0.00,
"Callee","[PicFace.dll]","[KernelBase.dll]",82,1,4.85,0.06,
"Callee","[PicFace.dll]","[ntdll.dll]",7,2,0.41,0.12,
"Callee","[PicFace.dll]","[ntmarta.dll]",16,0,0.95,0.00,
"Callee","[PicFace.dll]","[PicFace.dll]",66,49,3.90,2.90,
"Root","[PresentationCore.ni.dll]","[PresentationCore.ni.dll]",107,22,6.33,1.30,
"Caller","[PresentationCore.ni.dll]","[clr.dll]",1,0,0.06,0.00,
"Caller","[PresentationCore.ni.dll]","[mscorlib.ni.dll]",2,0,0.12,0.00,
"Caller","[PresentationCore.ni.dll]","[PresentationCore.ni.dll]",97,15,5.74,0.89,
"Caller","[PresentationCore.ni.dll]","[PresentationFramework.ni.dll]",10,0,0.59,0.00,
"Caller","[PresentationCore.ni.dll]","[WindowsBase.ni.dll]",98,7,5.80,0.41,
"Caller","[PresentationCore.ni.dll]","[未知]",6,0,0.35,0.00,
"Callee","[PresentationCore.ni.dll]","[clr.dll]",19,14,1.12,0.83,
"Callee","[PresentationCore.ni.dll]","[mscorlib.ni.dll]",5,1,0.30,0.06,
"Callee","[PresentationCore.ni.dll]","[PenIMC2_v0400.dll]",2,0,0.12,0.00,
"Callee","[PresentationCore.ni.dll]","[PresentationCore.ni.dll]",97,15,5.74,0.89,
"Callee","[PresentationCore.ni.dll]","[PresentationFramework.ni.dll]",7,2,0.41,0.12,
"Callee","[PresentationCore.ni.dll]","[user32.dll]",1,0,0.06,0.00,
"Callee","[PresentationCore.ni.dll]","[WindowsBase.ni.dll]",45,10,2.66,0.59,
"Callee","[PresentationCore.ni.dll]","[wpfgfx_v0400.dll]",13,0,0.77,0.00,
"Callee","[PresentationCore.ni.dll]","[未知]",3,3,0.18,0.18,
"Root","[PresentationFramework.ni.dll]","[PresentationFramework.ni.dll]",991,6,58.60,0.35,
"Caller","[PresentationFramework.ni.dll]","[clr.dll]",24,0,1.42,0.00,
"Caller","[PresentationFramework.ni.dll]","[PresentationCore.ni.dll]",7,2,0.41,0.12,
"Caller","[PresentationFramework.ni.dll]","[PresentationFramework.ni.dll]",991,3,58.60,0.18,
"Caller","[PresentationFramework.ni.dll]","[WindowsBase.ni.dll]",14,1,0.83,0.06,
"Caller","[PresentationFramework.ni.dll]","[未知]",25,0,1.48,0.00,
"Caller","[PresentationFramework.ni.dll]","极简浏览器.App+Program.Main",967,0,57.19,0.00,
"Callee","[PresentationFramework.ni.dll]","[PresentationCore.ni.dll]",10,0,0.59,0.00,
"Callee","[PresentationFramework.ni.dll]","[PresentationFramework.ni.dll]",991,3,58.60,0.18,
"Callee","[PresentationFramework.ni.dll]","[WindowsBase.ni.dll]",991,0,58.60,0.00,
"Root","[propsys.dll]","[propsys.dll]",1,0,0.06,0.00,
"Caller","[propsys.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Caller","[propsys.dll]","[propsys.dll]",1,0,0.06,0.00,
"Callee","[propsys.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Callee","[propsys.dll]","[propsys.dll]",1,0,0.06,0.00,
"Root","[rpcrt4.dll]","[rpcrt4.dll]",47,1,2.78,0.06,
"Caller","[rpcrt4.dll]","[combase.dll]",46,0,2.72,0.00,
"Caller","[rpcrt4.dll]","[rpcrt4.dll]",47,1,2.78,0.06,
"Caller","[rpcrt4.dll]","[sechost.dll]",1,0,0.06,0.00,
"Callee","[rpcrt4.dll]","[combase.dll]",46,0,2.72,0.00,
"Callee","[rpcrt4.dll]","[rpcrt4.dll]",47,1,2.78,0.06,
"Root","[sechost.dll]","[sechost.dll]",1,0,0.06,0.00,
"Caller","[sechost.dll]","[ntmarta.dll]",1,0,0.06,0.00,
"Caller","[sechost.dll]","[sechost.dll]",1,0,0.06,0.00,
"Callee","[sechost.dll]","[rpcrt4.dll]",1,0,0.06,0.00,
"Callee","[sechost.dll]","[sechost.dll]",1,0,0.06,0.00,
"Root","[SGMouseInput.dll]","[SGMouseInput.dll]",1,0,0.06,0.00,
"Caller","[SGMouseInput.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Caller","[SGMouseInput.dll]","[SGMouseInput.dll]",1,0,0.06,0.00,
"Callee","[SGMouseInput.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Callee","[SGMouseInput.dll]","[SGMouseInput.dll]",1,0,0.06,0.00,
"Root","[SHCore.dll]","[SHCore.dll]",1,0,0.06,0.00,
"Caller","[SHCore.dll]","[kernel32.dll]",1,0,0.06,0.00,
"Callee","[SHCore.dll]","[KernelBase.dll]",1,0,0.06,0.00,
"Root","[shlwapi.dll]","[shlwapi.dll]",2,1,0.12,0.06,
"Caller","[shlwapi.dll]","[ExplorerFrame.dll]",1,0,0.06,0.00,
"Caller","[shlwapi.dll]","[mshtml.dll]",1,1,0.06,0.06,
"Callee","[shlwapi.dll]","[user32.dll]",1,0,0.06,0.00,
"Root","[SogouPY.ime]","[SogouPY.ime]",44,5,2.60,0.30,
"Caller","[SogouPY.ime]","[kernel32.dll]",1,0,0.06,0.00,
"Caller","[SogouPY.ime]","[ntdll.dll]",31,0,1.83,0.00,
"Caller","[SogouPY.ime]","[SogouPY.ime]",44,5,2.60,0.30,
"Caller","[SogouPY.ime]","[SogouTSF.ime]",3,0,0.18,0.00,
"Caller","[SogouPY.ime]","[user32.dll]",9,0,0.53,0.00,
"Callee","[SogouPY.ime]","[gdi32.dll]",2,0,0.12,0.00,
"Callee","[SogouPY.ime]","[KernelBase.dll]",27,0,1.60,0.00,
"Callee","[SogouPY.ime]","[ntdll.dll]",3,0,0.18,0.00,
"Callee","[SogouPY.ime]","[ntmarta.dll]",5,0,0.30,0.00,
"Callee","[SogouPY.ime]","[SogouPY.ime]",44,5,2.60,0.30,
"Callee","[SogouPY.ime]","[user32.dll]",1,0,0.06,0.00,
"Callee","[SogouPY.ime]","[未知]",2,0,0.12,0.00,
"Root","[SogouTSF.ime]","[SogouTSF.ime]",4,0,0.24,0.00,
"Caller","[SogouTSF.ime]","[msctf.dll]",3,0,0.18,0.00,
"Caller","[SogouTSF.ime]","[ntdll.dll]",1,0,0.06,0.00,
"Caller","[SogouTSF.ime]","[SogouTSF.ime]",4,0,0.24,0.00,
"Callee","[SogouTSF.ime]","[SogouPY.ime]",3,0,0.18,0.00,
"Callee","[SogouTSF.ime]","[SogouTSF.ime]",4,0,0.24,0.00,
"Callee","[SogouTSF.ime]","[user32.dll]",1,0,0.06,0.00,
"Root","[System.ni.dll]","[System.ni.dll]",18,1,1.06,0.06,
"Caller","[System.ni.dll]","[mscorlib.ni.dll]",16,0,0.95,0.00,
"Caller","[System.ni.dll]","[System.ni.dll]",16,0,0.95,0.00,
"Caller","[System.ni.dll]","[WindowsBase.ni.dll]",2,1,0.12,0.06,
"Callee","[System.ni.dll]","[clr.dll]",1,1,0.06,0.06,
"Callee","[System.ni.dll]","[mscorlib.ni.dll]",7,1,0.41,0.06,
"Callee","[System.ni.dll]","[ntdll.dll]",9,0,0.53,0.00,
"Callee","[System.ni.dll]","[System.ni.dll]",16,0,0.95,0.00,
"Root","[t2embed.dll]","[t2embed.dll]",2,0,0.12,0.00,
"Caller","[t2embed.dll]","[mshtml.dll]",2,0,0.12,0.00,
"Caller","[t2embed.dll]","[t2embed.dll]",2,0,0.12,0.00,
"Callee","[t2embed.dll]","[t2embed.dll]",2,0,0.12,0.00,
"Callee","[t2embed.dll]","[win32u.dll]",2,0,0.12,0.00,
"Root","[TextInputFramework.dll]","[TextInputFramework.dll]",5,0,0.30,0.00,
"Caller","[TextInputFramework.dll]","[CoreUIComponents.dll]",5,0,0.30,0.00,
"Caller","[TextInputFramework.dll]","[TextInputFramework.dll]",5,0,0.30,0.00,
"Callee","[TextInputFramework.dll]","[msctf.dll]",5,0,0.30,0.00,
"Callee","[TextInputFramework.dll]","[TextInputFramework.dll]",5,0,0.30,0.00,
"Root","[twinapi.appcore.dll]","[twinapi.appcore.dll]",5,0,0.30,0.00,
"Caller","[twinapi.appcore.dll]","[DataExchange.dll]",1,0,0.06,0.00,
"Caller","[twinapi.appcore.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Caller","[twinapi.appcore.dll]","[twinapi.appcore.dll]",5,0,0.30,0.00,
"Caller","[twinapi.appcore.dll]","[ucrtbase.dll]",1,0,0.06,0.00,
"Caller","[twinapi.appcore.dll]","[user32.dll]",3,0,0.18,0.00,
"Callee","[twinapi.appcore.dll]","[combase.dll]",1,0,0.06,0.00,
"Callee","[twinapi.appcore.dll]","[KernelBase.dll]",2,0,0.12,0.00,
"Callee","[twinapi.appcore.dll]","[twinapi.appcore.dll]",5,0,0.30,0.00,
"Callee","[twinapi.appcore.dll]","[ucrtbase.dll]",2,0,0.12,0.00,
"Callee","[twinapi.appcore.dll]","[user32.dll]",1,0,0.06,0.00,
"Root","[ucrtbase.dll]","[ucrtbase.dll]",5,4,0.30,0.24,
"Caller","[ucrtbase.dll]","[combase.dll]",1,1,0.06,0.06,
"Caller","[ucrtbase.dll]","[d3d10warp.dll]",2,2,0.12,0.12,
"Caller","[ucrtbase.dll]","[twinapi.appcore.dll]",2,0,0.12,0.00,
"Caller","[ucrtbase.dll]","[ucrtbase.dll]",2,1,0.12,0.06,
"Callee","[ucrtbase.dll]","[twinapi.appcore.dll]",1,0,0.06,0.00,
"Callee","[ucrtbase.dll]","[ucrtbase.dll]",2,1,0.12,0.06,
"Root","[urlmon.dll]","[urlmon.dll]",3,1,0.18,0.06,
"Caller","[urlmon.dll]","[mshtml.dll]",3,0,0.18,0.00,
"Caller","[urlmon.dll]","[urlmon.dll]",3,1,0.18,0.06,
"Callee","[urlmon.dll]","[iertutil.dll]",1,0,0.06,0.00,
"Callee","[urlmon.dll]","[KernelBase.dll]",1,0,0.06,0.00,
"Callee","[urlmon.dll]","[urlmon.dll]",3,1,0.18,0.06,
"Root","[user32.dll]","[user32.dll]","1,012",30,59.85,1.77,
"Caller","[user32.dll]","[combase.dll]",47,0,2.78,0.00,
"Caller","[user32.dll]","[CoreMessaging.dll]",1,0,0.06,0.00,
"Caller","[user32.dll]","[ieframe.dll]",2,0,0.12,0.00,
"Caller","[user32.dll]","[msctf.dll]",8,1,0.47,0.06,
"Caller","[user32.dll]","[msctfui.dll]",1,0,0.06,0.00,
"Caller","[user32.dll]","[mshtml.dll]",76,6,4.49,0.35,
"Caller","[user32.dll]","[ntdll.dll]",398,2,23.54,0.12,
"Caller","[user32.dll]","[PresentationCore.ni.dll]",1,0,0.06,0.00,
"Caller","[user32.dll]","[shlwapi.dll]",1,0,0.06,0.00,
"Caller","[user32.dll]","[SogouPY.ime]",1,0,0.06,0.00,
"Caller","[user32.dll]","[SogouTSF.ime]",1,0,0.06,0.00,
"Caller","[user32.dll]","[twinapi.appcore.dll]",1,0,0.06,0.00,
"Caller","[user32.dll]","[user32.dll]",796,18,47.07,1.06,
"Caller","[user32.dll]","[uxtheme.dll]",15,1,0.89,0.06,
"Caller","[user32.dll]","[WindowsBase.ni.dll]",910,1,53.81,0.06,
"Caller","[user32.dll]","[wisp.dll]",7,1,0.41,0.06,
"Caller","[user32.dll]","[wpfgfx_v0400.dll]",6,0,0.35,0.00,
"Callee","[user32.dll]","[combase.dll]",46,0,2.72,0.00,
"Callee","[user32.dll]","[comctl32.dll]",1,1,0.06,0.06,
"Callee","[user32.dll]","[CoreMessaging.dll]",9,0,0.53,0.00,
"Callee","[user32.dll]","[gdi32.dll]",1,1,0.06,0.06,
"Callee","[user32.dll]","[gdi32full.dll]",1,0,0.06,0.00,
"Callee","[user32.dll]","[ieframe.dll]",18,0,1.06,0.00,
"Callee","[user32.dll]","[msctf.dll]",10,1,0.59,0.06,
"Callee","[user32.dll]","[msctfui.dll]",1,0,0.06,0.00,
"Callee","[user32.dll]","[mshtml.dll]",477,0,28.21,0.00,
"Callee","[user32.dll]","[ntdll.dll]",362,6,21.41,0.35,
"Callee","[user32.dll]","[SogouPY.ime]",9,0,0.53,0.00,
"Callee","[user32.dll]","[twinapi.appcore.dll]",3,0,0.18,0.00,
"Callee","[user32.dll]","[user32.dll]",796,18,47.07,1.06,
"Callee","[user32.dll]","[uxtheme.dll]",21,4,1.24,0.24,
"Callee","[user32.dll]","[win32u.dll]",323,1,19.10,0.06,
"Callee","[user32.dll]","[WindowsBase.ni.dll]",1,1,0.06,0.06,
"Callee","[user32.dll]","[未知]",220,4,13.01,0.24,
"Root","[uxtheme.dll]","[uxtheme.dll]",21,4,1.24,0.24,
"Caller","[uxtheme.dll]","[msctfui.dll]",1,0,0.06,0.00,
"Caller","[uxtheme.dll]","[user32.dll]",21,4,1.24,0.24,
"Caller","[uxtheme.dll]","[uxtheme.dll]",15,0,0.89,0.00,
"Callee","[uxtheme.dll]","[gdi32full.dll]",1,1,0.06,0.06,
"Callee","[uxtheme.dll]","[ntdll.dll]",3,2,0.18,0.12,
"Callee","[uxtheme.dll]","[user32.dll]",15,1,0.89,0.06,
"Callee","[uxtheme.dll]","[uxtheme.dll]",15,0,0.89,0.00,
"Root","[vcruntime140_clr0400.dll]","[vcruntime140_clr0400.dll]",4,4,0.24,0.24,
"Caller","[vcruntime140_clr0400.dll]","[clr.dll]",1,1,0.06,0.06,
"Caller","[vcruntime140_clr0400.dll]","[wpfgfx_v0400.dll]",3,3,0.18,0.18,
"Root","[win32u.dll]","[win32u.dll]",473,8,27.97,0.47,
"Caller","[win32u.dll]","[combase.dll]",1,0,0.06,0.00,
"Caller","[win32u.dll]","[CoreMessaging.dll]",1,0,0.06,0.00,
"Caller","[win32u.dll]","[d3d11.dll]",20,0,1.18,0.00,
"Caller","[win32u.dll]","[d3d9.dll]",3,0,0.18,0.00,
"Caller","[win32u.dll]","[gdi32.dll]",1,1,0.06,0.06,
"Caller","[win32u.dll]","[gdi32full.dll]",33,0,1.95,0.00,
"Caller","[win32u.dll]","[mshtml.dll]",72,2,4.26,0.12,
"Caller","[win32u.dll]","[t2embed.dll]",2,0,0.12,0.00,
"Caller","[win32u.dll]","[user32.dll]",323,1,19.10,0.06,
"Caller","[win32u.dll]","[WindowsBase.ni.dll]",17,4,1.01,0.24,
"Callee","[win32u.dll]","[ntdll.dll]",464,0,27.44,0.00,
"Callee","[win32u.dll]","[未知]",1,0,0.06,0.00,
"Root","[Windows.Media.dll]","[Windows.Media.dll]",1,0,0.06,0.00,
"Caller","[Windows.Media.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Caller","[Windows.Media.dll]","[Windows.Media.dll]",1,0,0.06,0.00,
"Callee","[Windows.Media.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Callee","[Windows.Media.dll]","[Windows.Media.dll]",1,0,0.06,0.00,
"Root","[WindowsBase.ni.dll]","[WindowsBase.ni.dll]",991,28,58.60,1.66,
"Caller","[WindowsBase.ni.dll]","[mscorlib.ni.dll]",104,0,6.15,0.00,
"Caller","[WindowsBase.ni.dll]","[PresentationCore.ni.dll]",45,10,2.66,0.59,
"Caller","[WindowsBase.ni.dll]","[PresentationFramework.ni.dll]",991,0,58.60,0.00,
"Caller","[WindowsBase.ni.dll]","[user32.dll]",1,1,0.06,0.06,
"Caller","[WindowsBase.ni.dll]","[WindowsBase.ni.dll]",966,16,57.13,0.95,
"Caller","[WindowsBase.ni.dll]","[未知]",204,1,12.06,0.06,
"Callee","[WindowsBase.ni.dll]","[clr.dll]",36,11,2.13,0.65,
"Callee","[WindowsBase.ni.dll]","[ieframe.dll]",23,0,1.36,0.00,
"Callee","[WindowsBase.ni.dll]","[kernel32.dll]",1,1,0.06,0.06,
"Callee","[WindowsBase.ni.dll]","[mscorlib.ni.dll]",114,9,6.74,0.53,
"Callee","[WindowsBase.ni.dll]","[msctf.dll]",4,0,0.24,0.00,
"Callee","[WindowsBase.ni.dll]","[ntdll.dll]",26,1,1.54,0.06,
"Callee","[WindowsBase.ni.dll]","[ole32.dll]",1,0,0.06,0.00,
"Callee","[WindowsBase.ni.dll]","[PresentationCore.ni.dll]",98,7,5.80,0.41,
"Callee","[WindowsBase.ni.dll]","[PresentationFramework.ni.dll]",14,1,0.83,0.06,
"Callee","[WindowsBase.ni.dll]","[System.ni.dll]",2,1,0.12,0.06,
"Callee","[WindowsBase.ni.dll]","[user32.dll]",910,1,53.81,0.06,
"Callee","[WindowsBase.ni.dll]","[win32u.dll]",17,4,1.01,0.24,
"Callee","[WindowsBase.ni.dll]","[WindowsBase.ni.dll]",966,16,57.13,0.95,
"Callee","[WindowsBase.ni.dll]","[wow64cpu.dll]",1,1,0.06,0.06,
"Callee","[WindowsBase.ni.dll]","[未知]",39,7,2.31,0.41,
"Root","[WindowsCodecs.dll]","[WindowsCodecs.dll]",1,0,0.06,0.00,
"Caller","[WindowsCodecs.dll]","[mshtml.dll]",1,0,0.06,0.00,
"Caller","[WindowsCodecs.dll]","[WindowsCodecs.dll]",1,0,0.06,0.00,
"Callee","[WindowsCodecs.dll]","[msvcrt.dll]",1,0,0.06,0.00,
"Callee","[WindowsCodecs.dll]","[WindowsCodecs.dll]",1,0,0.06,0.00,
"Root","[wininet.dll]","[wininet.dll]",1,0,0.06,0.00,
"Caller","[wininet.dll]","[mshtml.dll]",1,0,0.06,0.00,
"Caller","[wininet.dll]","[wininet.dll]",1,0,0.06,0.00,
"Callee","[wininet.dll]","[ntdll.dll]",1,0,0.06,0.00,
"Callee","[wininet.dll]","[wininet.dll]",1,0,0.06,0.00,
"Root","[wisp.dll]","[wisp.dll]",7,0,0.41,0.00,
"Caller","[wisp.dll]","[msvcrt.dll]",7,0,0.41,0.00,
"Callee","[wisp.dll]","[user32.dll]",7,1,0.41,0.06,
"Root","[wow64.dll]","[wow64.dll]",765,35,45.24,2.07,
"Caller","[wow64.dll]","[ntdll.dll]",743,0,43.94,0.00,
"Caller","[wow64.dll]","[wow64.dll]",765,9,45.24,0.53,
"Caller","[wow64.dll]","[wow64cpu.dll]",658,19,38.91,1.12,
"Caller","[wow64.dll]","[wow64win.dll]",210,7,12.42,0.41,
"Caller","[wow64.dll]","[未知]",1,0,0.06,0.00,
"Callee","[wow64.dll]","[ntdll.dll]",164,163,9.70,9.64,
"Callee","[wow64.dll]","[wow64.dll]",765,9,45.24,0.53,
"Callee","[wow64.dll]","[wow64cpu.dll]",764,1,45.18,0.06,
"Callee","[wow64.dll]","[wow64win.dll]",486,7,28.74,0.41,
"Root","[wow64cpu.dll]","[wow64cpu.dll]",765,168,45.24,9.93,
"Caller","[wow64cpu.dll]","[WindowsBase.ni.dll]",1,1,0.06,0.06,
"Caller","[wow64cpu.dll]","[wow64.dll]",764,1,45.18,0.06,
"Caller","[wow64cpu.dll]","[wow64cpu.dll]",764,166,45.18,9.82,
"Callee","[wow64cpu.dll]","[ntdll.dll]",6,3,0.35,0.18,
"Callee","[wow64cpu.dll]","[wow64.dll]",658,19,38.91,1.12,
"Callee","[wow64cpu.dll]","[wow64cpu.dll]",764,166,45.18,9.82,
"Callee","[wow64cpu.dll]","[未知]",27,0,1.60,0.00,
"Root","[wow64win.dll]","[wow64win.dll]",503,392,29.75,23.18,
"Caller","[wow64win.dll]","[ntdll.dll]",212,0,12.54,0.00,
"Caller","[wow64win.dll]","[wow64.dll]",486,7,28.74,0.41,
"Caller","[wow64win.dll]","[wow64win.dll]",481,384,28.44,22.71,
"Caller","[wow64win.dll]","[未知]",1,1,0.06,0.06,
"Callee","[wow64win.dll]","[ntdll.dll]",4,0,0.24,0.00,
"Callee","[wow64win.dll]","[wow64.dll]",210,7,12.42,0.41,
"Callee","[wow64win.dll]","[wow64win.dll]",481,384,28.44,22.71,
"Callee","[wow64win.dll]","[未知]",190,0,11.24,0.00,
"Root","[wpfgfx_v0400.dll]","[wpfgfx_v0400.dll]",48,14,2.84,0.83,
"Caller","[wpfgfx_v0400.dll]","[kernel32.dll]",35,0,2.07,0.00,
"Caller","[wpfgfx_v0400.dll]","[PresentationCore.ni.dll]",13,0,0.77,0.00,
"Caller","[wpfgfx_v0400.dll]","[wpfgfx_v0400.dll]",47,14,2.78,0.83,
"Callee","[wpfgfx_v0400.dll]","[d3d9.dll]",11,0,0.65,0.00,
"Callee","[wpfgfx_v0400.dll]","[kernel32.dll]",1,1,0.06,0.06,
"Callee","[wpfgfx_v0400.dll]","[KernelBase.dll]",2,0,0.12,0.00,
"Callee","[wpfgfx_v0400.dll]","[ntdll.dll]",11,6,0.65,0.35,
"Callee","[wpfgfx_v0400.dll]","[user32.dll]",6,0,0.35,0.00,
"Callee","[wpfgfx_v0400.dll]","[vcruntime140_clr0400.dll]",3,3,0.18,0.18,
"Callee","[wpfgfx_v0400.dll]","[wpfgfx_v0400.dll]",47,14,2.78,0.83,
"Root","[未知]","[未知]",542,80,32.05,4.73,
